x,y,th
6.5,-0.3,73.7
6.5,-0.4,91.4
6.5,-0.5,90.9
6.5,-0.8,90.7
6.5,-0.9,82.8
6.5,-0.9,61.1
6.6,-1.1,56.6
6.8,-1.3,56.1
6.8,-1.4,40.7
6.8,-1.4,5.7
6.9,-1.5,-13.1
7.0,-1.5,-32.1
7.1,-1.5,-37.9
7.2,-1.5,-60.3
7.2,-1.4,-76.6
7.1,-1.2,-63.8
7.2,-1.2,-54.1
7.2,-1.1,-33.7
7.4,-1.0,-21.7
7.6,-0.9,-26.0
7.8,-0.8,-43.0
7.9,-0.7,-56.4
8.1,-0.4,-58.8
8.2,-0.2,-50.9
8.2,-0.2,-25.3
8.2,-0.1,-15.6
8.5,-0.1,-16.3
8.7,-0.0,-15.9
8.9,-0.0,-30.5
9.0,0.0,-46.7
9.2,0.2,-47.3
9.3,0.2,-58.0
9.5,0.3,-61.2
9.6,0.3,-83.2
9.6,0.3,-121.0
9.4,0.5,-127.6
9.2,0.7,-124.3
9.2,0.8,-102.0
9.1,1.0,-87.1
9.2,1.0,-55.1
9.4,1.2,-53.2
9.5,1.3,-43.8
9.6,1.4,-22.8
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.8,1.5,-22.9
10.1,1.6,-22.2
10.3,1.7,-28.9
10.4,1.8,-35.0
10.6,1.9,-44.7
10.6,2.0,-67.7
10.7,2.2,-72.9
10.7,2.3,-90.9
10.7,2.6,-90.5
10.7,2.7,-107.7
10.8,2.7,-143.6
10.8,2.7,0.2
10.8,2.7,155.5
10.8,2.7,150.3
10.8,2.7,150.7
10.8,2.7,150.6
10.8,2.7,150.6
10.8,2.7,150.6
10.8,2.7,150.6
